Sample Size,0.9,0.95,0.99
  2,103.029,131.426,185.617
  3, 13.995, 17.370, 23.896
  4,  7.380,  9.083, 12.387
  5,  5.362,  6.578,  8.939
  6,  4.411,  5.406,  7.335
  7,  3.859,  4.728,  6.412
  8,  3.497,  4.285,  5.812
  9,  3.240,  3.972,  5.389
 10,  3.048,  3.738,  5.074
 11,  2.898,  3.556,  4.829
 12,  2.777,  3.410,  4.633
 13,  2.677,  3.290,  4.472
 14,  2.593,  3.189,  4.337
 15,  2.521,  3.102,  4.222
 16,  2.459,  3.028,  4.123
 17,  2.405,  2.963,  4.037
 18,  2.357,  2.905,  3.960
 19,  2.314,  2.854,  3.892
 20,  2.276,  2.808,  3.832
 21,  2.241,  2.766,  3.777
 22,  2.209,  2.729,  3.727
 23,  2.180,  2.694,  3.681
 24,  2.154,  2.662,  3.640
 25,  2.129,  2.633,  3.601
 30,  2.030,  2.515,  3.447
 40,  1.902,  2.364,  3.249
 50,  1.821,  2.269,  3.125
 60,  1.764,  2.202,  3.038
 70,  1.722,  2.153,  2.974
 80,  1.688,  2.114,  2.924
 90,  1.661,  2.082,  2.883
100,  1.639,  2.056,  2.850
