Sample Size,0.9,0.95,0.99
  2,20.581,26.26,37.094
  3, 6.155, 7.656, 10.553
  4, 4.162, 5.144,  7.042
  5, 3.407, 4.203,  5.741
  6, 3.006, 3.708,  5.062
  7, 2.755, 3.399,  4.642
  8, 2.582, 3.187,  4.354
  9, 2.454, 3.031,  4.143
 10, 2.355, 2.911,  3.981
 11, 2.275, 2.815,  3.852
 12, 2.210, 2.736,  3.747
 13, 2.155, 2.671,  3.659
 14, 2.109, 2.614,  3.585
 15, 2.068, 2.566,  3.520
 16, 2.033, 2.524,  3.464
 17, 2.002, 2.486,  3.414
 18, 1.974, 2.453,  3.370
 19, 1.949, 2.423,  3.331
 20, 1.926, 2.396,  3.295
 21, 1.905, 2.371,  3.263
 22, 1.886, 2.349,  3.233
 23, 1.869, 2.328,  3.206
 24, 1.853, 2.309,  3.181
 25, 1.838, 2.292,  3.158
 30, 1.777, 2.220,  3.064
 40, 1.697, 2.125,  2.941
 50, 1.646, 2.065,  2.862
 60, 1.609, 2.022,  2.807
 70, 1.581, 1.990,  2.765
 80, 1.559, 1.964,  2.733
 90, 1.542, 1.944,  2.706
100, 1.527, 1.927,  2.684
