Sample Size,0.9,0.95,0.99
  2,15.978,18.8,24.167
  3, 5.847, 6.919, 8.974
  4, 4.166, 4.943, 6.440
  5, 3.949, 4.152, 5.423
  6, 3.131, 3.723, 4.870
  7, 2.902, 3.452, 4.521
  8, 2.743, 3.264, 4.278
  9, 2.626, 3.125, 4.098
 10, 2.535, 3.018, 3.959
 11, 2.463, 2.933, 3.849
 12, 2.404, 2.863, 3.758
 13, 2.355, 2.805, 3.682
 14, 2.314, 2.756, 3.618
 15, 2.278, 2.713, 3.562
 16, 2.246, 2.676, 3.514
 17, 2.219, 2.643, 3.471
 18, 2.194, 2.614, 3.433
 19, 2.172, 2.588, 3.399
 20, 2.152, 2.564, 3.368
 21, 2.135, 2.543, 3.340
 22, 2.118, 2.524, 3.315
 23, 2.103, 2.506, 3.292
 24, 2.089, 2.489, 3.270
 25, 2.077, 2.474, 3.251
 30, 2.025, 2.413, 3.170
 40, 1.959, 2.334, 3.066
 50, 1.916, 2.284, 3.001
 60, 1.887, 2.248, 2.955
 70, 1.865, 2.222, 2.920
 80, 1.848, 2.202, 2.894
 90, 1.834, 2.185, 2.872
100, 1.822, 2.172, 2.854
